,name,link,HOF,Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
180,Ja Morant,/players/m/moranja01.html,False,Career,,,NBA,PG,70,70,30.8,6.8,14.2,0.48100000000000004,0.9,2.7,0.335,5.9,11.5,0.515,0.513,3.6,4.7,0.78,0.8,3.0,3.8,7.2,0.9,0.3,3.2,1.7,18.2
181,Jamal Murray,/players/m/murraja01.html,False,Career,,,NBA,PG,307,233,29.4,5.8,13.1,0.441,1.9,5.1,0.359,3.9,7.9,0.493,0.511,2.3,2.7,0.8740000000000001,0.8,2.8,3.6,3.7,0.9,0.3,1.9,1.9,15.7
182,Chris Paul,/players/p/paulch01.html,False,Career,,,NBA,PG,1031.0,1031.0,34.8,6.4,13.7,0.47,1.3,3.6,0.369,5.1,10.1,0.507,0.519,4.2,4.8,0.871,0.7,3.9,4.5,9.5,2.2,0.1,2.4,2.5,18.4
183,Domantas Sabonis,/players/s/sabondo01.html,False,Career,,,NBA,C,302.0,163.0,26.0,5.0,9.5,0.524,0.3,1.0,0.326,4.6,8.5,0.547,0.541,2.2,3.1,0.72,2.0,6.1,8.1,2.7,0.6,0.4,2.0,3.0,12.5
184,Collin Sexton,/players/s/sextoco01.html,False,Career,,,NBA,PG,155,145,32.6,7.2,15.7,0.455,1.5,3.8,0.39899999999999997,5.7,12.0,0.473,0.503,3.0,3.6,0.8420000000000001,0.8,2.2,2.9,3.0,0.8,0.1,2.3,2.3,18.8
185,Pascal Siakam,/players/s/siakapa01.html,False,Career,,,NBA,PF,285,191,26.4,5.1,10.2,0.498,0.9,2.7,0.33299999999999996,4.2,7.5,0.556,0.541,2.1,2.7,0.763,1.2,4.4,5.7,2.4,0.8,0.7,1.5,2.5,13.1
186,Ben Simmons,/players/s/simmobe01.html,False,Career,,,NBA,PG,227,227,34.3,6.6,11.9,.559,0.0,0.1,.115,6.6,11.8,.563,.559,2.9,4.9,.594,1.9,6.4,8.3,7.9,1.7,0.8,3.5,2.8,16.2
187,Jayson Tatum,/players/t/tatumja01.html,False,Career,,,NBA,SF,235,235,32.0,6.5,14.1,0.45799999999999996,1.9,4.7,0.40399999999999997,4.6,9.4,0.485,0.525,3.0,3.6,0.831,0.8,5.2,6.0,2.3,1.1,0.8,1.8,2.1,17.7
188,Klay Thompson,/players/t/thompkl01.html,False,Career,,,NBA,SG,615,578,33.1,7.3,16.0,0.45899999999999996,2.9,7.0,0.419,4.4,9.0,0.491,0.551,1.9,2.3,0.848,0.4,3.0,3.5,2.3,0.9,0.5,1.7,2.1,19.5
189,Karl-Anthony Towns,/players/t/townska01.html,False,Career,,,NBA,C,361,361,34.4,8.5,16.0,0.5329999999999999,1.4,3.6,0.396,7.1,12.5,0.5720000000000001,0.5770000000000001,4.1,5.0,0.8320000000000001,3.1,8.6,11.8,2.8,0.8,1.5,2.5,3.3,22.6
190,Fred VanVleet,/players/v/vanvlfr01.html,False,Career,,,NBA,PG,241,92,24.3,3.8,9.1,0.415,1.7,4.4,0.392,2.1,4.8,0.436,0.509,1.6,1.9,0.841,0.3,2.3,2.7,4.1,1.1,0.3,1.3,1.8,10.9
191,Russell Westbrook,/players/w/westbru01.html,False,Career,,,NBA,PG,885.0,868.0,34.6,8.2,18.8,0.43700000000000006,1.1,3.7,0.305,7.1,15.2,0.469,0.466,5.6,7.1,0.7979999999999999,1.7,5.4,7.1,8.3,1.7,0.3,4.1,2.6,23.2
